utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
93282.5,0.22,18604.0,4.636,40227.0,0.294,null,0.303,0.101,19620.0,24973.0,32431.5,0.502,22558.5,null,0.681,0.309,0.036,0.056,0.171,0.139,null,7983.0,"Kincumber - Picketts Valley",0.443,51127.0,12824.0,37670.0,32804.0,null,5467.0,24802.5,18575.0,55038.0,0.377,102011034,0.212,57224.0,0.144,48615.0,0.106,0.403
78837.0,0.201,28774.0,4.914,37155.0,0.298,11561.0,0.39,0.111,20401.0,29727.5,34340.0,0.53,45879.5,0.028,0.745,0.298,0.051,0.138,0.214,0.177,null,7542.0,"Narara",0.376,70613.0,14789.0,35891.0,39909.0,null,5096.5,27806.0,19851.0,40779.0,0.306,102011035,0.299,55673.0,0.179,43731.5,0.07,0.352
75942.0,0.207,35300.0,5.662,46850.0,0.391,24526.0,0.43,0.085,27300.0,29618.0,36123.0,0.607,42163.0,0.023,0.746,0.372,0.064,0.138,0.223,0.175,null,6793.5,"Niagara Park - Lisarow",0.476,66779.0,17374.5,18743.0,37551.0,null,5887.5,28317.5,19317.0,39294.0,0.335,102011036,0.401,56973.0,0.197,49810.0,0.094,0.5
82157.0,0.187,43240.0,4.054,42092.0,0.345,null,0.348,0.047,19530.0,30552.5,36062.5,0.381,41262.5,null,0.59,0.253,0.03,0.101,0.147,0.163,null,7328.0,"Point Clare - Koolewong",0.237,68270.0,12634.0,21770.5,40816.5,null,5054.5,26577.0,21252.5,45437.5,0.29,102011037,0.202,58584.0,0.136,45737.0,0.08,0.392
87609.0,0.196,26147.0,4.519,42188.0,0.285,null,0.311,0.069,20901.0,26981.5,34327.0,0.445,24154.0,null,0.597,0.31,0.048,0.077,0.209,0.138,null,7528.0,"Saratoga - Davistown",0.35,43531.0,14422.0,20500.0,35992.0,null,6788.0,33259.5,18389.0,35294.0,0.445,102011038,0.247,49320.0,0.119,47010.0,0.112,0.413
99485.5,0.394,30364.0,9.957,44028.0,0.795,2682.0,0.638,0.182,20800.0,26195.5,33090.5,1.005,40485.0,0.038,1.397,0.544,0.047,0.209,0.371,0.207,0.028,7650.0,"Terrigal - North Avoca",1.008,53137.5,17008.0,30720.0,41950.0,85768.0,5200.0,34071.5,15160.0,25485.0,0.765,102011039,0.455,41037.0,0.249,48612.0,0.259,0.999
72672.5,0.702,28491.5,13.73,40248.0,0.955,8008.0,1.09,0.184,24534.0,26431.0,30088.5,1.373,36995.0,0.038,1.804,0.84,0.125,0.294,0.55,0.595,0.041,9578.5,"Umina - Booker Bay - Patonga",1.219,58955.5,13531.0,23300.0,33580.0,61884.0,7440.0,25074.5,20357.0,37129.0,1.107,102011040,0.709,52463.0,0.478,42955.0,0.277,0.89
78607.5,0.272,33398.0,6.837,38065.0,0.476,8912.0,0.477,0.095,24525.5,27123.0,36000.0,0.622,35535.5,0.039,0.926,0.469,0.061,0.176,0.245,0.159,null,7154.0,"Wamberal - Forresters Beach",0.608,62900.0,14419.5,33312.0,39011.5,null,7753.0,34729.0,16372.0,22090.0,0.537,102011041,0.298,44356.5,0.197,47608.0,0.172,0.722
76048.0,0.459,31815.5,7.99,38395.5,0.555,5625.0,0.627,0.103,18804.5,27296.5,35150.0,0.836,40486.0,0.027,1.065,0.484,0.077,0.161,0.309,0.425,null,10027.0,"Woy Woy - Blackwall",0.618,57500.0,11947.0,32267.0,33700.0,null,10048.0,21863.5,20280.0,48840.0,0.58,102011042,0.414,51307.0,0.282,40056.5,0.177,0.513
77910.0,0.297,37290.0,6.856,40082.0,0.404,8341.0,0.558,0.096,18611.0,29165.0,29963.0,0.77,37841.5,0.021,1.051,0.421,0.078,0.147,0.302,0.239,null,9791.0,"Wyoming",0.554,59731.0,17484.0,23885.0,38549.0,null,6256.0,24783.0,21874.0,42120.0,0.449,102011043,0.443,53759.5,0.232,46670.0,0.111,0.477
74842.0,0.473,27465.0,13.017,38898.5,0.587,17645.0,0.998,0.182,22778.0,26221.0,34193.0,1.578,29919.5,0.075,1.623,0.849,0.163,0.192,0.472,0.418,0.052,7990.0,"Bateau Bay - Killarney Vale",1.275,51866.5,14063.0,22629.0,34537.0,96653.0,5737.5,34971.0,18568.0,34887.0,1.12,102021044,0.771,49659.0,0.401,48418.0,0.301,1.038
70873.0,0.224,24074.5,6.823,39635.0,0.201,19897.0,0.618,0.086,20074.0,25416.5,24916.5,0.953,25022.0,0.029,0.83,0.397,0.062,0.06,0.306,0.335,0.036,7015.0,"Blue Haven - San Remo",0.583,47835.5,9347.0,20881.5,36131.0,81778.0,3828.5,21092.0,23091.0,34632.0,0.646,102021045,0.608,43642.0,0.212,43881.5,0.099,0.332
97049.5,0.195,24428.0,5.314,40578.0,0.216,null,0.427,0.073,15827.5,26349.0,30482.5,0.583,22491.0,null,0.658,0.338,0.09,0.042,0.169,0.21,0.052,8697.0,"Budgewoi - Buff Point - Halekulani",0.473,48407.0,9900.5,19392.5,33915.0,128318.0,3858.0,26101.0,22468.0,40449.5,0.605,102021046,0.385,33873.0,0.147,46567.0,0.108,0.358
76118.0,0.401,32478.0,10.185,41600.0,0.561,9726.5,0.706,0.155,22492.0,28740.5,34219.0,1.145,38292.0,0.054,1.22,0.674,0.131,0.165,0.461,0.343,0.033,8781.5,"Chittaway Bay - Tumbi Umbi",0.851,55922.0,16331.0,24166.0,34774.0,93536.0,3808.5,33491.0,17918.0,43773.0,0.883,102021047,0.713,53202.0,0.369,48783.5,0.218,0.768
