emp_total_female_45_64, total_male_15_64, employment_female, employment_female_25_44, emp_total_male_65up, employment_male_rate, employment_female_25_44_rate, employment_male_15_24, sa2_name16, employment_male, employment_female_45_64_rate, emp_total_person_15up, employment_male_65up, emp_total_female_15up, emp_total_female_25_44, emp_total_male_15up, employment_female_rate, employment_female_15_24_rate, emp_total_male_15_24, total_person_15_64, employment_male_45_64_rate, employment_male_25_44_rate, emp_total_male_25_44, employment_rate, employment_male_25_44, employment_female_65up, employment_female_45_64, employment_female_15_24, employment_male_45_64, total_female_15_64, employment_total, employment_female_65up_rate, emp_total_female_15_24, emp_total_female_65up, employment_male_65up_rate, sa2_code16, employment_male_15_24_rate, emp_total_male_45_64
448,801,553,192,387,75.40575,66.666664,67,"Eden",604,57.142857,2463,55,1275,288,1188,63.930637,55.03876,134,1666,67.54808,80.07968,251,69.44778,201,34,256,71,281,865,1157,8.292683,129,410,14.211886,"101041023",50.0,416
585,961,715,186,368,72.632675,75.918365,87,"Eurobodalla Hinterland",698,67.69231,2630,61,1301,245,1329,72.51521,57.05128,158,1947,65.053764,76.32653,245,72.57319,187,44,396,89,363,986,1413,13.968254,156,315,16.576086,"101041024",55.06329,558
1576,2579,2045,649,1428,79.488174,77.63158,260,"Merimbula - Tura Beach",2050,64.53046,8470,168,4463,836,4007,72.46634,66.097565,415,5401,70.06415,83.96846,761,75.81929,639,108,1017,271,983,2822,4095,6.5813527,410,1641,11.764706,"101041025",62.650604,1403
1270,2060,1432,467,1079,69.660194,73.65931,186,"Moruya - Tuross Head",1435,57.795277,6378,114,3239,634,3139,64.825714,56.72131,320,4269,58.843254,79.15905,547,67.158585,433,58,734,173,702,2209,2867,5.6310678,305,1030,10.565338,"101041026",58.125,1193
1447,2041,1424,409,1415,69.67173,69.91453,138,"Narooma - Bermagui",1422,54.38839,7144,149,3688,585,3456,61.993904,47.92453,262,4338,58.246178,76.67911,536,65.60627,411,101,787,127,724,2297,2846,7.2609634,265,1391,10.530035,"101041027",52.671757,1243
1299,3223,2347,999,783,83.555695,70.85107,386,"Mudgee",2693,69.43803,8345,126,4339,1410,4006,71.14277,59.491524,607,6522,76.84729,89.05579,1398,77.27691,1245,95,902,351,936,3299,5040,9.134615,590,1040,16.091953,"103031072",63.591434,1218
471,892,502,147,412,65.246635,53.260868,57,"Mudgee Region - East",582,56.26327,2566,79,1262,276,1304,58.44005,39.285713,148,1751,54.115227,70.93023,258,61.907482,183,46,265,44,263,859,1084,11.414392,112,403,19.174757,"103031073",38.51351,486
1337,2726,1802,623,999,81.87821,66.13588,238,"Mudgee Region - West",2232,62.976814,7268,260,3543,942,3725,67.49064,47.058823,476,5396,72.08157,85.62802,828,74.75908,709,153,842,184,1025,2670,4034,17.525774,391,873,26.026026,"103031074",50.0,1422
0,0,0,0,0,0.0,0.0,0,"Wollangambe - Wollemi",0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,"103031075",0.0,0
1154,3514,2659,1347,674,83.60842,79.79858,365,"Queanbeyan",2938,72.87695,8469,94,4281,1688,4188,77.77128,70.53726,533,6933,75.74503,88.21207,1773,80.72984,1564,64,841,407,915,3419,5597,7.424594,577,862,13.946588,"101021009",68.4803,1208
